id,wbs,name,phase,work_package,duration,remaining,percent_complete,actual_start,actual_finish,constraint,constraint_date,notes,low_factor,high_factor,baseline_start,baseline_finish,current_start,current_finish,start_day,finish_day,network_float,total_float,late_start_day,late_finish_day,path_status,finish_variance,task_id,p50_date,p80_date,on_baseline_probability,risk_status
T096,4.1.5,Bench verification: Evidence gate,Testing,Bench verification,0,0,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2026-12-22,2026-12-22,2027-01-15,2027-01-15,204.0,204.0,0.0,-18.0,186.0,186.0,Critical,18,T096,2027-01-20,2027-01-25,0.0,At risk
T101,4.2.5,Environmental qualification: Evidence gate,Testing,Environmental qualification,0,0,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2026-12-14,2026-12-14,2027-01-07,2027-01-07,198.0,198.0,0.0,-18.0,180.0,180.0,Critical,18,T101,2027-01-13,2027-01-18,0.0,At risk
T106,4.3.5,Ground integration: Evidence gate,Testing,Ground integration,0,0,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-02-10,2027-02-10,2027-03-08,2027-03-08,240.0,240.0,0.0,-18.0,222.0,222.0,Critical,18,T106,2027-03-12,2027-03-18,0.0,At risk
T111,4.4.5,Taxi readiness: Evidence gate,Testing,Taxi readiness,0,0,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-02-05,2027-02-05,2027-03-03,2027-03-03,237.0,237.0,0.0,-18.0,219.0,219.0,Critical,18,T111,2027-03-10,2027-03-16,0.0,At risk
T116,4.5.5,Flight research campaign: Evidence gate,Testing,Flight research campaign,0,0,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-03-29,2027-03-29,2027-04-22,2027-04-22,273.0,273.0,0.0,-18.0,255.0,255.0,Critical,18,T116,2027-04-30,2027-05-05,0.0,At risk
T121,4.6.5,Test evidence closure: Evidence gate,Testing,Test evidence closure,0,0,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-03-29,2027-03-29,2027-04-22,2027-04-22,273.0,273.0,0.0,-18.0,255.0,255.0,Critical,18,T121,2027-04-30,2027-05-06,0.0,At risk
T126,5.1.5,Configuration freeze: Acceptance gate,Delivery,Configuration freeze,0,0,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-05-13,2027-05-13,2027-06-08,2027-06-08,306.0,306.0,0.0,-18.0,288.0,288.0,Critical,18,T126,2027-06-21,2027-06-25,0.0,At risk
T131,5.2.5,Documentation release: Acceptance gate,Delivery,Documentation release,0,0,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-05-18,2027-05-18,2027-06-11,2027-06-11,309.0,309.0,0.0,-18.0,291.0,291.0,Critical,18,T131,2027-06-24,2027-06-30,0.0,At risk
T136,5.3.5,Acceptance inspection: Acceptance gate,Delivery,Acceptance inspection,0,0,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-07-07,2027-07-07,2027-08-02,2027-08-02,345.0,345.0,0.0,-18.0,327.0,327.0,Critical,18,T136,2027-08-16,2027-08-20,0.0,At risk
T141,5.4.5,Operator training: Acceptance gate,Delivery,Operator training,0,0,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-07-02,2027-07-02,2027-07-28,2027-07-28,342.0,342.0,0.0,-18.0,324.0,324.0,Critical,18,T141,2027-08-11,2027-08-17,0.0,At risk
T146,5.5.5,Transfer preparation: Acceptance gate,Delivery,Transfer preparation,0,0,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-08-26,2027-08-26,2027-09-21,2027-09-21,381.0,381.0,0.0,-18.0,363.0,363.0,Critical,18,T146,2027-10-06,2027-10-13,0.0,At risk
T151,5.6.5,Program closeout: Acceptance gate,Delivery,Program closeout,0,0,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2027-08-26,2027-08-26,2027-09-21,2027-09-21,381.0,381.0,0.0,-18.0,363.0,363.0,Critical,18,T151,2027-10-06,2027-10-13,0.0,At risk
T152,6,Final demonstrator acceptance,Program,Final acceptance,0,0,0,,,FNLT,2027-08-26,Fictional planning estimate,0.85,1.25,2027-08-26,2027-08-26,2027-09-21,2027-09-21,381.0,381.0,0.0,-18.0,363.0,363.0,Critical,18,T152,2027-10-08,2027-10-14,0.0,At risk
